restaurant_id,status,place_id,updated_at,reason
7549,AMBIGUOUS,37559010,2026-09-21T00:55:29,TOP_K_DETAIL_VALIDATION_FAILED
7553,ERROR,18396275,2026-09-21T00:57:40,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
7554,RESOLVED,2029727267,2026-09-21T00:59:07,
7557,AMBIGUOUS,20889368,2026-09-21T00:59:47,TOP_K_DETAIL_VALIDATION_FAILED
7562,RESOLVED,1034953698,2026-09-21T01:00:13,
7566,RESOLVED,61244505,2026-09-21T01:00:43,
7568,AMBIGUOUS,1743063426,2026-09-21T01:01:13,TOP_K_DETAIL_VALIDATION_FAILED
7573,NOT_FOUND,,2026-09-21T01:01:26,NO_VALID_CANDIDATE
7876,AMBIGUOUS,1807902224,2026-09-21T01:02:30,TOP_K_DETAIL_VALIDATION_FAILED
8365,NOT_FOUND,,2026-09-21T01:02:43,CANDIDATE_PLACE_ID_MISSING
7563,AMBIGUOUS,1881406968,2026-09-21T01:03:40,TOP_K_DETAIL_VALIDATION_FAILED
7721,NOT_FOUND,,2026-09-21T01:03:53,NO_VALID_CANDIDATE
7759,NOT_FOUND,,2026-09-21T01:04:06,CANDIDATE_PLACE_ID_MISSING
7552,AMBIGUOUS,1777700241,2026-09-21T01:05:49,TOP_K_DETAIL_VALIDATION_FAILED
7564,AMBIGUOUS,1531219789,2026-09-21T01:07:13,TOP_K_DETAIL_VALIDATION_FAILED
7565,RESOLVED,37192522,2026-09-21T01:09:49,
7567,NOT_FOUND,,2026-09-21T01:10:02,NO_VALID_CANDIDATE
