restaurant_id,komsco_name,komsco_address,previous_naver_status,query,place_id,place_url,resolve_status,detail_status,menu_count,parsed_menu_count,menu_complete,menu_fallback_used,review_requested,review_count,review_keyword_count,result,reason,elapsed_ms
4282,선02,서울특별시 강남구 개포로25길 5 (개포동) 1층,MATCHED,개포동 선02,2063978135,https://pcmap.place.naver.com/restaurant/2063978135/home,AMBIGUOUS,NOT_ATTEMPTED,,,,False,False,,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,8705
4325,샤넬,서울특별시 강남구 개포로 623 (개포동) 대청타워 지하1층 130호 샤넬,UNMATCHED,개포동 샤넬,1695021343,https://pcmap.place.naver.com/restaurant/1695021343/home,AMBIGUOUS,NOT_ATTEMPTED,,,,False,False,,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,6835
4298,빨간모자피자,서울특별시 강남구 학동로6길 30 1층 빨간모자피자,MATCHED,논현동 빨간모자피자,11580560,https://pcmap.place.naver.com/restaurant/11580560/home,AMBIGUOUS,NOT_ATTEMPTED,,,,False,False,,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,1919
4293,족발대감,서울특별시 강남구 논현로 613 (논현동) 지하1층,UNMATCHED,논현동 족발대감,1531219789,https://pcmap.place.naver.com/restaurant/1531219789/home,AMBIGUOUS,NOT_ATTEMPTED,,,,False,False,,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,1346
4278,오레노 카츠,서울특별시 강남구 도곡로63길 28 (대치동) 1층,MATCHED,한티역 오레노 카츠,1488199141,https://pcmap.place.naver.com/restaurant/1488199141/home,RESOLVED,FAILED,,,,False,False,,,FAILED,,2889
4337,코코호도대치점,"서울시  강남구  삼성로 212, 은마종합상가 A118 코코호도대치점",AMBIGUOUS,대치동 코코호도대치점,12796490,https://pcmap.place.naver.com/restaurant/12796490/home,AMBIGUOUS,NOT_ATTEMPTED,,,,False,False,,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,1645
4279,카츠오우 도곡점,서울특별시 강남구 논현로30길 42 (도곡동) 1층 카츠오우,MATCHED,도곡동 카츠오우 도곡점,1003690665,https://pcmap.place.naver.com/restaurant/1003690665/home,AMBIGUOUS,NOT_ATTEMPTED,,,,False,False,,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,1924
4306,불룸(Bloom),서울특별시 강남구 논현로34길 22 (도곡동) 1층,UNMATCHED,도곡동 불룸(Bloom),33141973,https://pcmap.place.naver.com/restaurant/33141973/home,AMBIGUOUS,NOT_ATTEMPTED,,,,False,False,,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,2031
4289,수궁갈비집,서울특별시 강남구 봉은사로97길 4 (삼성동) 수궁갈비집,MATCHED,삼성동 수궁갈비집,13150128,https://pcmap.place.naver.com/restaurant/13150128/home,AMBIGUOUS,NOT_ATTEMPTED,,,,False,False,,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,1701
4292,송강식당,서울특별시 강남구 영동대로115길 14 (삼성동) 송강민물장어,UNMATCHED,삼성동 송강식당,2143696228,https://pcmap.place.naver.com/restaurant/2143696228/home,AMBIGUOUS,NOT_ATTEMPTED,,,,False,False,,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,5012
