restaurant_id,query,query_stage,NAVER Local name,NAVER Local address,NAVER Local category,candidate_count,candidate name,candidate href/url,candidate address,candidate category,place_id,detail_name,detail_address,detail_category,name evidence,address evidence,distance evidence,final_status,risk flags
4282,강남구 선02,gangnam,집밥식당 선02,서울특별시 강남구 개포동 1257-6 1층,음식점>한식,9,집밥식당 선02 플레이스 플러스 한식,,서울 강남구 개포동,한식,,,,,CONTAINED,DIFFERENT,UNKNOWN,NOT_FOUND,ADDRESS_MISMATCH
4298,강남구 빨간모자피자,gangnam,빨간모자피자 논현점,서울특별시 강남구 논현동 140-8,음식점>피자,3,빨간모자피자 논현점피자,,서울 강남구 논현동,,,,,,CONTAINED,DIFFERENT,UNKNOWN,NOT_FOUND,ADDRESS_MISMATCH
4278,강남구 오레노 카츠,gangnam,오레노카츠 대치점,서울특별시 강남구 대치동 924-4,음식점>일식>돈가스,4,오레노카츠 대치점 네이버페이 톡톡,,서울 강남구 대치동,,,,,,CONTAINED,DIFFERENT,UNKNOWN,NOT_FOUND,ADDRESS_MISMATCH
4279,강남구 카츠오우 도곡점,gangnam,카츠오우 도곡점,서울특별시 강남구 도곡동 420-2 1층,음식점>일식>돈가스,1,카츠오우 도곡점돈가스,,서울 강남구 도곡동,,,,,,CONTAINED,DIFFERENT,UNKNOWN,NOT_FOUND,ADDRESS_MISMATCH
4289,강남구 수궁갈비집,gangnam,수궁갈비집,서울특별시 강남구 삼성동 77-25,음식점>한식,1,수궁갈비집한식,,서울 강남구 삼성동,수궁갈비집한식,,,,,CONTAINED,DIFFERENT,UNKNOWN,NOT_FOUND,ADDRESS_MISMATCH
4296,강남구 돌리고제주도야지,gangnam,돌리고제주도야지 세곡점,서울특별시 강남구 세곡동 587 강남지웰파인즈 1층 101호,"육류,고기요리>돼지고기구이",2,돌리고제주도야지 세곡점돼지고기구이,,서울 강남구 세곡동,,,,,,CONTAINED,DIFFERENT,UNKNOWN,NOT_FOUND,ADDRESS_MISMATCH
4419,강남구 파리바게뜨 수서역점,gangnam,파리바게뜨 수서역점,서울특별시 강남구 수서동 724 로즈데일오피스텔 지상1층 105호,"카페,디저트>베이커리",1,파리바게뜨 수서역점 네이버페이,,서울 강남구 수서동,,,,,,CONTAINED,DIFFERENT,UNKNOWN,NOT_FOUND,ADDRESS_MISMATCH
4280,강남구 소나무,gangnam,소나무,서울특별시 강남구 신사동 576-3 1층,한식>소고기구이,9,역삼소나무공원근린공원,,서울 강남구 역삼동,,,,,,CONTAINED,DIFFERENT,UNKNOWN,NOT_FOUND,ADDRESS_MISMATCH
5719,강남구 서울동,gangnam,서울동,서울특별시 강남구 압구정동 494 갤러리아백화점 명품관 WEST 고메이494 지하1층,음식점>일식>일식당,9,서울동일식당,,서울동일식당,서울동일식당,,,,,CONTAINED,DIFFERENT,UNKNOWN,NOT_FOUND,ADDRESS_MISMATCH
4295,강남구 전라도밥집 순천댁,gangnam,전라도밥집 순천댁,서울특별시 강남구 역삼동 837-26 삼일프라자 1층,음식점>한식,1,전라도밥집 순천댁한식,,서울 강남구 역삼동,전라도밥집 순천댁한식,,,,,CONTAINED,DIFFERENT,UNKNOWN,NOT_FOUND,ADDRESS_MISMATCH
